序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元]
93,快车,08-23 10:09 周五,北京市,观音寺-北门,大兴区|康泰园,6.2,21.48
94,快车,08-25 14:18 周日,北京市,观音寺-北门,大兴区|康泰园,6.1,20.86
95,快车,08-27 21:25 周二,北京市,康庄路|住总·兴康家园-北门对面,兴业大街|北京石油化工学院-北1门,1.9,14
96,快车,08-28 13:21 周三,北京市,康庄路|康泰园-南门,枣园-地铁站,2.3,13
97,快车,08-28 22:10 周三,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.6,17.6
98,快车,08-29 22:10 周四,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,19.78
99,快车,08-30 17:40 周五,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.7,21.28
100,快车,08-31 13:37 周六,北京市,阿泰包子(枣园路),观音寺小区25号楼,5.7,16.34
101,快车,09-06 20:20 周五,北京市,兴华大街|枣园小区-南门对面,观音寺小区25号楼,4.3,16.95
102,快车,09-07 12:33 周六,北京市,兴华大街|吉野家(枣园路店),观音寺小区25号楼,6.3,29.21
103,快车,09-09 13:14 周一,北京市,观音寺北里小区,兴华大街|绿地中央广场(高米店),4.8,15.52
104,快车,09-12 16:25 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.1,16.04
105,快车,09-12 17:42 周四,北京市,观音寺-北门,黄村西大街-地铁站,1.6,14
106,快车,09-13 09:46 周五,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,15.28
107,快车,09-24 09:18 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.9,17.14
108,快车,09-27 09:21 周五,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.2,17.58
109,快车,09-28 17:43 周六,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,15.28
110,快车,10-02 19:09 周三,北京市,兴丰大街|肯德基(绿地缤纷城北区)东南侧,大兴区黄村镇一中心观音寺小学,4.7,15.6
111,快车,10-02 20:55 周三,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.6,16.55
112,快车,10-02 21:33 周三,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.3,16.89
113,快车,10-03 13:44 周四,北京市,兴盛街189号院-东2门,枣园-地铁站,1.3,13
114,快车,10-03 17:11 周四,北京市,"黄村|北京市大兴区疾病预防控制中心
-南门",大兴区黄村镇一中心观音寺小学,1.6,13
115,快车,10-04 21:54 周五,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",观音寺小区25号楼,4.6,17.55
116,快车,10-07 11:11 周一,北京市,观音寺-北门,荟聚·西红门购物中心地下停车场-出入口,7.8,22.14
117,快车,10-07 21:42 周一,北京市,兴华园-公交站路西,观音寺小区25号楼,3.7,15.55
118,快车,10-08 10:17 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.3,15.32
119,快车,10-08 21:47 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.2,17.35
120,快车,10-09 13:13 周三,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.2,14.68
121,快车,10-14 19:27 周一,北京市,兴业大街|北京石油化工学院-北1门,观音寺小区25号楼,4.5,18.08
122,快车,10-19 19:08 周六,北京市,观音寺-北门,兴华大街|最·影城,3.1,13.15
123,快车,11-02 22:36 周六,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,17.77
124,快车,11-05 11:33 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.1,14.6
125,快车,11-05 15:52 周二,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.7,13.14
126,快车,11-10 16:06 周日,北京市,兴华大街|彩虹新城-西1门,大兴区黄村镇一中心观音寺小学,3.6,7.92
127,快车,11-10 18:05 周日,北京市,观音寺-北门,大兴区|康泰园,6.19,20.62
128,快车,11-21 12:40 周四,北京市,知春路|泛亚大厦-北门,学院路|北京科技大学-东2门,5.8,16.03
129,快车,11-21 13:20 周四,北京市,学院路|北京科技大学-东2门,定福庄|北京第二外国语学院,27.36,47.72
130,快车,11-24 17:40 周日,北京市,将台路|将台地铁站C东南口,将台路|ZMAX HOTELS北京酒仙桥丽都798酒店(北京7…,1.7,13
131,快车,11-29 18:11 周五,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.4,21.11
132,快车,11-29 19:30 周五,北京市,大兴区黄村镇一中心观音寺小学-西门,黄村西大街地铁站A西北口,1.7,14
133,快车,11-30 14:31 周六,北京市,观音寺-北门,大兴区|康泰园,6.2,23.43
134,快车,12-01 13:44 周日,北京市,观音寺-北门,兴华大街|咖啡一色(石化学院丽园小区东南),4.1,9.74
135,快车,12-04 22:30 周三,北京市,兴华大街|艾莎菲尔(大兴七店),观音寺小区25号楼,4.2,16.7
136,快车,12-07 16:07 周六,北京市,康庄路|康泰园-南门,观音寺小区25号楼,6.3,22.25
137,快车,12-09 13:08 周一,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,4,13.68
138,快车,12-27 16:14 周五,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,12.38
139,快车,12-27 17:52 周五,北京市,观音寺-北门,兴丰大街|盛和轩烤鸭店(彩虹新城店),3,14.06
140,快车,12-27 23:27 周五,北京市,康庄西巷|北京大兴华夏村镇银行,兴华大街|绿地中央广场(高米店),2.8,13.3
141,快车,12-28 08:51 周六,北京市,大望路|LGD(金地广场店),朝阳区|奥加美术馆酒店,0,4
142,快车,12-28 08:57 周六,北京市,大望路|北京银行(现代城支行),朝阳区|奥加美术馆酒店,7,18.43
143,快车,12-28 17:13 周六,北京市,旗舰路|海通·梧桐苑-北门,朝阳区|幸福二村34号院,23.4,77.81
144,快车,12-31 10:10 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,3.8,14.12
145,快车,01-01 18:02 周三,北京市,兴华大街|枣园地铁站C东南口附近-上车点,大兴区|康泰园,2.9,13
146,快车,01-07 10:29 周二,北京市,观音寺-北门,兴华大街|北京印刷学院-北门,3.3,13.42
147,快车,01-08 11:48 周三,北京市,观音寺-北门,大兴区|康泰园,6.2,18.98
148,快车,01-11 13:15 周六,北京市,观音寺-北门,大兴区|康泰园,6.3,21.21
149,快车,01-12 10:45 周日,北京市,观音寺-北门,荟聚·西红门购物中心-东北门,7.8,24.54
150,快车,01-12 12:05 周日,北京市,地铁西红门站-公交站路西,比格比萨(西红门新都荟店),1.9,13
151,快车,01-13 20:12 周一,北京市,康庄路|康泰园-南门,大兴区黄村西大街26号首都医科大学大兴医院|首都医科大学大兴医…,4.6,16.64
152,快车,01-14 16:14 周二,北京市,康庄路|康泰园-南门,黄村|首都医科大学大兴医院-北1门,4.5,15.6
153,快车,01-16 13:51 周四,北京市,观音寺-北门,黄村火车站地铁站A西北口,2.8,13
154,快车,01-19 15:05 周日,北京市,观音寺-北门,大兴区兴业大街与枣园路交叉口西 150米丽园-B区|丽园B区-北…,4.6,17.24
155,快车,01-20 21:47 周一,北京市,鑫手勺东北菜(康庄路店)西南侧,观音寺小区25号楼,6.3,23.38
156,快车,01-22 14:35 周三,北京市,观音寺-北门,大兴区|康泰园,6.1,23.84
157,快车,01-22 15:04 周三,北京市,鑫手勺东北菜(康庄路店),黄村西大街-地铁站,4.5,20.1
158,快车,01-22 15:35 周三,北京市,黄村|首都医科大学大兴医院-北门,大兴区|康泰园,5.6,23.14
159,快车,01-22 17:11 周三,北京市,鑫手勺东北菜(康庄路店),观音寺小区25号楼,6.36,26.56
160,快车,01-24 12:15 周五,北京市,观音寺-北门,大兴区|康泰园,6.2,30.03
161,快车,01-25 13:52 周六,北京市,鑫手勺东北菜(康庄路店)西南侧,大兴区|天堂河小区北区,13.9,45.98
162,快车,01-27 12:27 周一,北京市,观音寺-北门,大兴区|康泰园,6.2,33.03
163,滴滴快车,04-01 11:52 周四,北京市,鲁谷|北京石景山万达广场-西门,石景山区|北方工业大学-南门,4.6,15.32
164,滴滴专车,04-01 12:13 周四,北京市,八角东街|北方工业大学-南门,荟聚购物中心(西红门店)北侧-下车点,26.6,81.82
165,滴滴快车,04-01 14:33 周四,北京市,地铁西红门站-公交站(欣宁街)路西,观音寺北里小区-东门,7.7,20.58
166,滴滴快车,04-01 18:35 周四,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.8,15.32
167,滴滴快车,04-01 21:43 周四,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,3.7,15.58
168,滴滴快车,04-04 11:48 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.5,15.3
169,滴滴快车,04-06 22:04 周二,北京市,兴华大街|枣园-C口(东南口),观音寺小区25号楼,6.7,24.93
170,滴滴快车,04-07 09:28 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.8,15.32
171,滴滴快车,04-07 21:35 周三,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,16.25
172,滴滴快车,04-08 23:04 周四,北京市,兴华大街|枣园小区-南门南侧,观音寺北里小区-东门,3.7,15.58
173,滴滴快车,04-10 13:25 周六,北京市,兴华大街|北京石油化工学院-南门,荟聚购物中心(西红门店)北侧-下车点,5.2,15.18
174,滴滴快车,04-13 21:02 周二,北京市,兴华大街|彩虹新城-西门对面,观音寺小区25号楼,3.5,15.13
175,滴滴快车,04-14 09:31 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.5,14.83
176,滴滴快车,04-21 20:19 周三,北京市,兴华大街|兴创大厦-北门,兴华大街|枣园尚城南区-北门,1.3,14
177,滴滴快车,04-28 07:01 周三,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.4,17.91
178,滴滴快车,04-28 19:55 周三,北京市,兴业大街|北京石油化工学院-北门,观音寺小区25号楼,4.2,15.98
179,滴滴快车,04-29 22:12 周四,北京市,宣武门地铁站E口,崇文门|北京汇,3.86,12.27
180,滴滴快车,05-02 15:57 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.5,15.3
181,滴滴快车,05-02 21:07 周日,北京市,兴华大街|枣园尚城南区-东门,观音寺小区25号楼,4.2,16.66
182,滴滴快车,05-04 16:19 周二,北京市,新源大街|奈雪的茶(北京凯德天宫院店),观音寺小区25号楼,8.9,25.03
183,滴滴快车,05-08 22:59 周六,北京市,兴华大街|北京印刷学院-东门,观音寺小区25号楼,3.2,14.45
184,滴滴快车,05-10 16:02 周一,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,14.4
185,滴滴快车,05-12 19:15 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,2.9,14
186,滴滴快车,05-16 12:01 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.3,15.29
187,滴滴快车,05-19 21:31 周三,北京市,兴华大街|北京石油化工学院-北3门对面,观音寺小区25号楼,4.8,18.05
188,滴滴快车,05-22 13:11 周六,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.9,14.58
189,滴滴专车,05-22 16:01 周六,北京市,建国门地铁站B口,朝阳区|幸福二村小区34号院,4.4,25.79
190,滴滴专车,05-24 16:04 周一,北京市,兴华大街|北京石油化工学院-南门,海子角东口-公交站,5.4,25.76
191,滴滴快车,05-24 18:16 周一,北京市,海子角东口-公交站-上车点,兴华大街|北京石油化工学院-南门,7.08,22.19
192,滴滴快车,05-28 12:44 周五,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.7,12.87
193,滴滴快车,05-31 22:04 周一,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,3.96,14.5
194,滴滴快车,06-02 22:07 周三,北京市,兴华大街|北京石油化工学院-北3门,观音寺小区25号楼,4.09,14.16
195,滴滴快车,06-04 17:57 周五,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,3.97,17.64
196,滴滴快车,06-07 06:46 周一,北京市,观音寺-北门,兴华大街|北京石油化工学院-北3门,4.84,15.95
197,滴滴快车,06-09 21:01 周三,北京市,兴华大街|北京石油化工学院-北3门,观音寺小区25号楼,4.17,14.99
198,滴滴快车,06-13 12:16 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.5,15.64
199,滴滴快车,06-14 14:39 周一,北京市,观音寺-北门,大兴区|天堂河小区东侧-下车点,8.6,26.06
200,滴滴快车,06-15 20:35 周二,北京市,兴华大街|枣园尚城南区-东门东南侧,观音寺小区25号楼,4.6,17.44
201,滴滴快车,06-16 08:08 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-北3门,3.9,16.29
202,滴滴快车,06-18 22:30 周五,北京市,兴华大街|世纪华联生活超市枣园店,观音寺小区25号楼,4.52,15.6
203,滴滴快车,06-19 14:10 周六,北京市,黄村|火神庙-北门,黄村西大街-地铁站,1.84,11.05
204,滴滴快车,06-19 19:18 周六,北京市,兴华大街|枣园地铁站A口,观音寺小区25号楼,4.5,14.54
205,滴滴快车,06-20 11:23 周日,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.4,15.74
206,滴滴快车,06-21 10:43 周一,北京市,蓟门桥|蓟门里南区-南2门,中国工商银行(北京北太平庄支行),4.3,17.29
